iter	MultiClass
0	1.072593421
1	0.9200611477
2	0.8268463988
3	0.7639310887
4	0.7206295491
5	0.6894001459
6	0.6656803273
7	0.648320178
8	0.635214294
9	0.6250279655
10	0.6174560133
11	0.6122593989
12	0.607110459
13	0.6035593711
14	0.6005819313
15	0.598034983
16	0.5953990333
17	0.593768111
18	0.5914547413
19	0.5892071128
20	0.5875259857
21	0.5861084004
22	0.5839486635
23	0.5824844245
24	0.581535195
25	0.5808955837
26	0.5800585713
27	0.5789688928
28	0.5771035484
29	0.5764542157
30	0.5758419485
31	0.5750643296
32	0.5746366791
33	0.5740653392
34	0.5730879666
35	0.5721286606
36	0.5717552543
37	0.5714427952
38	0.570796259
39	0.5697126619
40	0.5691153539
41	0.5686742978
42	0.5677550757
43	0.5673260048
44	0.5669410128
45	0.5665799913
46	0.5661256183
47	0.5655689269
48	0.5649370394
49	0.5644714358
50	0.5641271048
51	0.5636122729
52	0.5631242969
53	0.5626533664
54	0.5621413312
55	0.5618619423
56	0.5612685851
57	0.5610236871
58	0.5604197651
59	0.5601434391
60	0.5599578014
61	0.5597446864
62	0.5594448339
63	0.5590141649
64	0.5585143368
65	0.5582833772
66	0.5577830607
67	0.5573322833
68	0.5569126673
69	0.5566126817
70	0.5563337367
71	0.5560817808
72	0.5559096375
73	0.5556073435
74	0.5552465884
75	0.5549975621
76	0.5547417886
77	0.5545032383
78	0.554193043
79	0.5538908379
80	0.5537106601
81	0.5534077891
82	0.5532428813
83	0.5529812928
84	0.5527694651
85	0.5526245771
86	0.5524880787
87	0.5523151364
88	0.5520829782
89	0.5516884869
90	0.5515847925
91	0.5512987896
92	0.5507841353
93	0.5504525886
94	0.5502205636
95	0.5496837588
96	0.549341603
97	0.5491228949
98	0.5489993139
99	0.5488486109
100	0.5487096267
101	0.548338795
102	0.548184674
103	0.5480141287
104	0.5478788289
105	0.5477465032
106	0.5476460492
107	0.5474945472
108	0.5472616788
109	0.5471288204
110	0.5469246721
111	0.5467199467
112	0.5465862893
113	0.5465205482
114	0.5464200055
115	0.5462507919
116	0.5461326709
117	0.5459333167
118	0.5457476346
119	0.5456524186
120	0.545422036
121	0.5453173651
122	0.5450998999
123	0.5449857296
124	0.5447462915
125	0.5446546711
126	0.5444399581
127	0.5443513563
128	0.5442382069
129	0.5441743301
130	0.5440793805
131	0.5438303099
132	0.5436560803
133	0.5435496781
134	0.5434512217
135	0.543393959
136	0.543275039
137	0.5431463532
138	0.5430239708
139	0.5429129965
140	0.5427332626
141	0.5426148309
142	0.5425024805
143	0.5423502682
144	0.5422151015
145	0.5421031951
146	0.5420105981
147	0.5417991699
148	0.5417480774
149	0.5416062079
150	0.5414444074
151	0.5412259212
152	0.5409815559
153	0.5408735557
154	0.5407637356
155	0.5406777527
156	0.5405102704
157	0.5404573578
158	0.5403100728
159	0.5401919518
160	0.5401131156
161	0.5400689923
162	0.5399838528
163	0.5398974704
164	0.5396175933
165	0.5394817164
166	0.5393226681
167	0.5392228356
168	0.5391450649
169	0.5390762608
170	0.5388820558
171	0.5387881716
172	0.5387078262
173	0.5386261936
174	0.5385645806
175	0.5384301686
176	0.5383415667
177	0.5382704988
178	0.5381640079
179	0.538085882
180	0.5378914995
181	0.5377117655
182	0.5375779306
183	0.5375003818
184	0.5374026356
185	0.5371363417
186	0.5369892343
187	0.5368896681
188	0.5367621809
189	0.5366588416
190	0.5365357934
191	0.5364400448
192	0.5362577806
193	0.5361376177
194	0.5360331243
195	0.5359695139
196	0.5358810008
197	0.5357514716
198	0.5357187564
199	0.5356874616
200	0.5355942433
201	0.5354609854
202	0.5353755796
203	0.5353029136
204	0.5351886101
205	0.5351291279
206	0.5350264101
207	0.5348048167
208	0.5347116871
209	0.5346500298
210	0.5345750112
211	0.5344462366
212	0.5343872427
213	0.5342800859
214	0.5342000957
215	0.5341102509
216	0.5340402927
217	0.5339579942
218	0.5338776488
219	0.5337509606
220	0.5336516608
221	0.5334805385
222	0.5333734705
223	0.5332776331
224	0.5332242767
225	0.5331543185
226	0.5330468954
227	0.5329853269
228	0.5329309939
229	0.5328649864
230	0.5328014647
231	0.5327304412
232	0.532676197
233	0.5326201771
234	0.532449987
235	0.5323312001
236	0.5322779769
237	0.5322038017
238	0.5320215819
239	0.5319374634
240	0.5318592931
241	0.5318029626
242	0.5317159588
243	0.5316645999
244	0.5315739561
245	0.5314837562
246	0.531399327
247	0.5313264391
248	0.5312771221
249	0.5312207028
250	0.5311346755
251	0.5310845596
252	0.5310197062
253	0.530956806
254	0.5308535555
255	0.5307440017
256	0.5306822556
257	0.5305409188
258	0.5303229653
259	0.5302656138
260	0.5301367949
261	0.5300038033
262	0.5299468069
263	0.5298671718
264	0.5298064023
265	0.5297498942
266	0.5297043947
267	0.5296238718
268	0.5295594179
269	0.529519556
270	0.5294500417
271	0.5293629491
272	0.5293154077
273	0.529255526
274	0.5291849463
275	0.529140601
276	0.5290604332
277	0.5289920287
278	0.5289256661
279	0.5288769705
280	0.5287879248
281	0.5286978137
282	0.5286345583
283	0.5285793819
284	0.5285269133
285	0.52845478
286	0.5283573446
287	0.5282950659
288	0.5282377143
289	0.5281921705
290	0.5280785772
291	0.5280031591
292	0.5279364858
293	0.5278746065
294	0.5278117951
295	0.527770779
296	0.5277106753
297	0.5276359231
298	0.5275245049
299	0.5273671878
300	0.5272851112
301	0.5272403664
302	0.5271809285
303	0.5271236658
304	0.5270361737
305	0.526939271
306	0.5269059787
307	0.5268327357
308	0.526790743
309	0.5267158132
310	0.5266538008
311	0.5266003999
312	0.5265481976
313	0.526508824
314	0.526457909
315	0.5263164834
316	0.5262546485
317	0.5261280047
318	0.5260813067
319	0.5260275063
320	0.5259468059
321	0.5258992201
322	0.5258428895
323	0.5257866922
324	0.5257182432
325	0.5256466426
326	0.5255940408
327	0.5255382874
328	0.5253958852
329	0.5253423068
330	0.5252921464
331	0.5252081167
332	0.5251521857
333	0.5250923927
334	0.5250389919
335	0.5249968217
336	0.5249503901
337	0.5249175417
338	0.524851401
339	0.524803105
340	0.5247554748
341	0.524678725
342	0.5246067249
343	0.524558784
344	0.5245022759
345	0.5244637013
346	0.5244179355
347	0.5243298219
348	0.5242905814
349	0.5242307441
350	0.5241797403
351	0.5241230103
352	0.5240613974
353	0.5239309804
354	0.5238805093
355	0.5238290616
356	0.5237856929
357	0.5237533328
358	0.52369971
359	0.5236590046
360	0.5235965483
361	0.5235420378
362	0.523518378
363	0.5234643114
364	0.5233967946
365	0.5233499635
366	0.5232893272
367	0.5232527056
368	0.5231913147
369	0.5231303232
370	0.5230838028
371	0.5230412331
372	0.5230229001
373	0.5229864118
374	0.5229304807
375	0.5228956348
376	0.5227557185
377	0.5225639105
378	0.5225277329
379	0.5224555996
380	0.5223987364
381	0.5223657993
382	0.5223057844
383	0.5222255278
384	0.5221508199
385	0.5220867655
386	0.5220485904
387	0.5219783215
388	0.5219319342
389	0.5218861241
390	0.5218170093
391	0.5217264987
392	0.5215547993
393	0.5215045945
394	0.5214713466
395	0.5214250925
396	0.5213432379
397	0.5213066164
398	0.5212585424
399	0.5212197014
400	0.5211789072
401	0.5211394004
402	0.5211081056
403	0.5210462708
404	0.5210024581
405	0.5209321892
406	0.5208448303
407	0.5208053678
408	0.520688179
409	0.5206317597
410	0.5205661961
411	0.5205186103
412	0.5204637002
413	0.5204020873
414	0.5203492636
415	0.5203116655
416	0.5202807258
417	0.5202358035
418	0.5201966517
419	0.5201279365
420	0.5200803507
421	0.520025707
422	0.5199602321
423	0.5199209916
424	0.5198780668
425	0.5197859582
426	0.5197224365
427	0.5196549641
428	0.5196096422
429	0.519520774
430	0.5194665742
431	0.519412108
432	0.5193417947
433	0.5192519056
434	0.5192033876
435	0.5191306773
436	0.5190875749
437	0.5190554367
438	0.5190112689
439	0.5189535623
440	0.5188749482
441	0.5188376164
442	0.5187834166
443	0.5187392488
444	0.5186733301
445	0.5186335125
446	0.5185922745
447	0.518542558
448	0.5184809007
449	0.5184300745
450	0.5183574973
451	0.5182998351
452	0.5182588634
453	0.5182190014
454	0.5181631592
455	0.5181252504
456	0.5180735363
457	0.5179648703
458	0.5179415214
459	0.5179075188
460	0.5178779553
461	0.517821536
462	0.5177622757
463	0.517640426
464	0.5175769043
465	0.5175200855
466	0.5174888795
467	0.5174452444
468	0.5174156365
469	0.5173699151
470	0.5173199323
471	0.5172638237
472	0.5171957299
473	0.5171591527
474	0.5170651797
475	0.517021811
476	0.5169684545
477	0.5168883755
478	0.5168195715
479	0.5167734949
480	0.5167093074
481	0.5166619436
482	0.5166166661
483	0.516573253
484	0.5165371641
485	0.5164835414
486	0.5164446116
487	0.5163913883
488	0.5163388753
489	0.5162621255
490	0.5162328283
491	0.5161975385
492	0.5161728134
493	0.5161167048
494	0.5160813262
495	0.5160090598
496	0.5159629389
497	0.51590794
498	0.5158670571
499	0.5158406452
500	0.515795057
501	0.515753597
502	0.5157164428
503	0.5156486153
504	0.5155840727
505	0.5155355991
506	0.5155063463
507	0.5154521465
508	0.5154208073
509	0.515354933
510	0.5153268787
511	0.5152649995
512	0.5152312189
513	0.5151809254
514	0.515165389
515	0.5150781188
516	0.5149827253
517	0.5149591988
518	0.5149014921
519	0.5148547054
520	0.5148278496
521	0.5147920715
522	0.5147476818
523	0.5147041799
524	0.5146476274
525	0.5146042586
526	0.5144963029
527	0.5144445001
528	0.5144127614
529	0.5143586504
530	0.5143274
531	0.514288781
532	0.5142415503
533	0.5142086576
534	0.514174078
535	0.5141252049
536	0.514090137
537	0.5140581321
538	0.5139989162
539	0.5139613625
540	0.5139033007
541	0.5138446176
542	0.5138164301
543	0.5137149108
544	0.51366151
545	0.513627907
546	0.5135911523
547	0.5135388168
548	0.5135120055
549	0.5134485726
550	0.5134018302
551	0.5133716452
552	0.5133250804
553	0.5132916106
554	0.5132379878
555	0.5131860074
556	0.5131223082
557	0.5130992699
558	0.5130390775
559	0.5129975731
560	0.5129512303
561	0.5128857111
562	0.512797775
563	0.512737405
564	0.5126912397
565	0.5126414345
566	0.5125934492
567	0.512566771
568	0.5125292617
569	0.5124987216
570	0.5124666278
571	0.512423481
572	0.5123992886
573	0.5123696363
574	0.5123129506
575	0.5122728667
576	0.5122375325
577	0.5121609603
578	0.5121070712
579	0.5120520723
580	0.5120230858
581	0.5119384791
582	0.5118923582
583	0.5118707404
584	0.5118314999
585	0.5117998056
586	0.5117293591
587	0.511681729
588	0.5116435982
589	0.5115941925
590	0.511560989
591	0.5115196178
592	0.5114640862
593	0.5114351885
594	0.5114149468
595	0.5113878691
596	0.5113514695
597	0.5113133388
598	0.5112713905
599	0.5112136839
600	0.5111697825
601	0.511142616
602	0.5111002682
603	0.5110537922
604	0.511007982
605	0.5109621718
606	0.5109327414
607	0.5109069954
608	0.5108541272
609	0.510820613
610	0.5107536733
611	0.5107168743
612	0.510660233
613	0.5106320455
614	0.5105787335
615	0.5105452637
616	0.5104833844
617	0.5104629651
618	0.5104075668
619	0.5103557196
620	0.510327177
621	0.5102753742
622	0.510249717
623	0.510201199
624	0.5101616922
625	0.5101141508
626	0.5100725576
627	0.5100314084
628	0.5100038424
629	0.5099350383
630	0.5099044982
631	0.5098808829
632	0.509815852
633	0.5097769666
634	0.5097344856
635	0.5096996841
636	0.5096429984
637	0.5096167197
638	0.5095770353
639	0.5095175087
640	0.5094721868
641	0.5094415579
642	0.5094082656
643	0.5093616121
644	0.5093276095
645	0.5092924529
646	0.5092478856
647	0.5092116636
648	0.5091776167
649	0.5091270125
650	0.5090935426
651	0.5090628693
652	0.509037434
653	0.5089981491
654	0.5089610837
655	0.5089318753
656	0.5088907704
657	0.5088351945
658	0.5087953769
659	0.5087785088
660	0.5087445951
661	0.508707796
662	0.5086552386
663	0.508617463
664	0.5085759586
665	0.5085297045
666	0.5085040917
667	0.5084312038
668	0.5083841063
669	0.508348417
670	0.5083102418
671	0.5082622565
672	0.5082209741
673	0.5081779605
674	0.5081353907
675	0.5080948629
676	0.5080519381
677	0.508025393
678	0.5079940095
679	0.5079641352
680	0.5079237406
681	0.5078768651
682	0.50785032
683	0.5078178712
684	0.5077594099
685	0.5077107144
686	0.5076797304
687	0.5076380484
688	0.5075810964
689	0.50752774
690	0.5074788669
691	0.5074220037
692	0.5073923514
693	0.5073698458
694	0.5073346004
695	0.5072771601
696	0.5072422254
697	0.5072195867
698	0.5071765286
699	0.5071489626
700	0.507112785
701	0.5070723016
