iter	Passed	Remaining
0	13	13588
1	25	12870
2	37	12583
3	50	12470
4	61	12167
5	72	12051
6	84	12009
7	96	11921
8	108	11955
9	120	11937
10	131	11797
11	142	11737
12	155	11777
13	166	11749
14	179	11771
15	190	11693
16	201	11643
17	212	11571
18	222	11498
19	233	11450
20	244	11389
21	254	11329
22	266	11299
23	277	11274
24	287	11230
25	298	11187
26	310	11181
27	320	11131
28	331	11095
29	342	11082
30	353	11056
31	365	11046
32	375	11013
33	387	11004
34	398	10976
35	409	10953
36	419	10917
37	429	10879
38	439	10827
39	449	10783
40	460	10764
41	470	10735
42	481	10707
43	492	10696
44	503	10675
45	513	10656
46	524	10641
47	535	10616
48	545	10588
49	555	10562
50	566	10548
51	577	10524
52	588	10518
53	598	10490
54	609	10464
55	619	10446
56	630	10424
57	640	10404
58	651	10388
59	662	10374
60	673	10360
61	684	10353
62	695	10340
63	704	10310
64	715	10288
65	726	10283
66	737	10276
67	748	10263
68	759	10248
69	770	10236
70	782	10236
71	793	10230
72	804	10214
73	813	10185
74	825	10178
75	836	10167
76	847	10157
77	857	10139
78	868	10122
79	878	10105
80	889	10090
81	899	10074
82	911	10064
83	921	10044
84	931	10031
85	942	10018
86	953	10009
87	964	9992
88	974	9978
89	985	9967
90	996	9954
91	1006	9936
92	1017	9923
93	1028	9910
94	1039	9898
95	1049	9878
96	1059	9862
97	1070	9854
98	1081	9844
99	1092	9836
100	1104	9826
101	1115	9818
102	1126	9814
103	1138	9807
104	1149	9800
105	1161	9792
106	1172	9789
107	1182	9770
108	1193	9757
109	1204	9749
110	1216	9740
111	1227	9731
112	1237	9716
113	1248	9704
114	1259	9693
115	1270	9680
116	1280	9666
117	1291	9655
118	1302	9644
119	1313	9634
120	1324	9619
121	1334	9607
122	1345	9594
123	1356	9582
124	1367	9570
125	1378	9561
126	1389	9550
127	1400	9538
128	1411	9528
129	1422	9516
130	1433	9506
131	1444	9497
132	1454	9483
133	1464	9466
134	1475	9455
135	1487	9449
136	1498	9437
137	1509	9426
138	1520	9419
139	1532	9411
140	1543	9402
141	1554	9390
142	1565	9383
143	1577	9374
144	1587	9360
145	1598	9349
146	1608	9335
147	1619	9325
148	1631	9315
149	1642	9306
150	1653	9298
151	1664	9285
152	1674	9270
153	1685	9259
154	1696	9247
155	1706	9235
156	1717	9221
157	1728	9210
158	1738	9198
159	1749	9183
160	1760	9172
161	1770	9160
162	1781	9149
163	1792	9137
164	1803	9125
165	1814	9114
166	1824	9102
167	1835	9090
168	1846	9079
169	1857	9069
170	1868	9058
171	1879	9048
172	1890	9036
173	1900	9021
174	1910	9007
175	1922	8999
176	1933	8989
177	1943	8977
178	1954	8965
179	1965	8955
180	1976	8941
181	1986	8927
182	1997	8916
183	2008	8906
184	2018	8891
185	2027	8874
186	2038	8862
187	2048	8847
188	2058	8834
189	2069	8823
190	2080	8813
191	2091	8800
192	2100	8784
193	2111	8773
194	2123	8764
195	2134	8754
196	2145	8744
197	2157	8737
198	2167	8722
199	2178	8712
200	2189	8703
201	2200	8693
202	2211	8683
203	2222	8672
204	2233	8661
205	2244	8650
206	2255	8641
207	2266	8631
208	2277	8619
209	2288	8609
210	2299	8598
211	2309	8585
212	2320	8572
213	2330	8558
214	2340	8544
215	2350	8532
216	2361	8520
217	2372	8510
218	2383	8501
219	2394	8491
220	2406	8481
221	2416	8469
222	2427	8458
223	2438	8448
224	2450	8439
225	2461	8430
226	2472	8418
227	2483	8407
228	2494	8397
229	2505	8387
230	2516	8378
231	2527	8366
232	2538	8357
233	2549	8346
234	2561	8337
235	2571	8326
236	2583	8315
237	2594	8305
238	2605	8294
239	2615	8282
240	2626	8271
241	2636	8258
242	2647	8248
243	2658	8237
244	2670	8230
245	2680	8216
246	2691	8204
247	2702	8195
248	2713	8184
249	2724	8172
250	2735	8163
251	2745	8149
252	2755	8135
253	2765	8122
254	2775	8109
255	2786	8098
256	2797	8088
257	2808	8078
258	2820	8068
259	2830	8057
260	2842	8047
261	2852	8035
262	2862	8022
263	2872	8008
264	2883	7996
265	2893	7985
266	2905	7976
267	2916	7967
268	2926	7953
269	2938	7943
270	2949	7934
271	2961	7925
272	2972	7916
273	2984	7908
274	2996	7898
275	3006	7885
276	3016	7873
277	3027	7863
278	3039	7853
279	3049	7841
280	3060	7829
281	3071	7820
282	3082	7809
283	3093	7798
284	3104	7788
285	3115	7776
286	3125	7764
287	3136	7754
288	3147	7743
289	3159	7734
290	3170	7724
291	3181	7713
292	3192	7702
293	3203	7692
294	3213	7680
295	3225	7670
296	3235	7659
297	3247	7649
298	3259	7640
299	3270	7632
300	3282	7621
301	3292	7610
302	3303	7599
303	3315	7590
304	3326	7580
305	3337	7569
306	3347	7556
307	3358	7545
308	3368	7532
309	3379	7522
310	3390	7510
311	3401	7500
312	3412	7489
313	3423	7478
314	3433	7466
315	3443	7454
316	3453	7441
317	3463	7428
318	3473	7416
319	3485	7405
320	3495	7394
321	3506	7383
322	3517	7372
323	3528	7361
324	3539	7350
325	3549	7339
326	3561	7329
327	3571	7317
328	3582	7305
329	3592	7294
330	3604	7285
331	3615	7274
332	3626	7263
333	3637	7253
334	3648	7242
335	3659	7231
336	3669	7218
337	3680	7207
338	3691	7197
339	3701	7185
340	3712	7174
341	3723	7163
342	3734	7153
343	3744	7141
344	3756	7131
345	3767	7120
346	3778	7109
347	3789	7099
348	3800	7089
349	3810	7077
350	3821	7066
351	3833	7056
352	3844	7046
353	3855	7036
354	3866	7025
355	3877	7014
356	3888	7004
357	3899	6993
358	3910	6983
359	3921	6972
360	3932	6961
361	3943	6950
362	3954	6939
363	3965	6928
364	3976	6917
365	3987	6906
366	3998	6896
367	4009	6885
368	4020	6875
369	4031	6864
370	4042	6853
371	4053	6843
372	4063	6831
373	4074	6820
374	4085	6808
375	4096	6798
376	4107	6787
377	4118	6776
378	4129	6765
379	4139	6754
380	4150	6743
381	4161	6732
382	4172	6721
383	4183	6711
384	4194	6700
385	4204	6688
386	4215	6677
387	4226	6666
388	4237	6656
389	4248	6645
390	4260	6636
391	4272	6626
392	4282	6615
393	4294	6605
394	4304	6593
395	4315	6582
396	4326	6571
397	4337	6561
398	4348	6550
399	4359	6539
400	4370	6529
401	4381	6518
402	4392	6507
403	4404	6497
404	4415	6486
405	4426	6475
406	4437	6465
407	4448	6455
408	4460	6445
409	4471	6434
410	4482	6424
411	4494	6414
412	4506	6404
413	4517	6394
414	4528	6383
415	4540	6373
416	4551	6363
417	4562	6352
418	4574	6342
419	4585	6332
420	4597	6322
421	4608	6312
422	4620	6302
423	4631	6291
424	4642	6280
425	4653	6269
426	4664	6259
427	4675	6248
428	4686	6237
429	4698	6227
430	4709	6216
431	4720	6206
432	4732	6196
433	4743	6185
434	4754	6175
435	4765	6165
436	4776	6153
437	4787	6143
438	4798	6132
439	4810	6122
440	4821	6111
441	4831	6100
442	4842	6089
443	4853	6078
444	4865	6067
445	4875	6056
446	4887	6045
447	4897	6034
448	4909	6024
449	4920	6013
450	4931	6002
451	4943	5993
452	4954	5982
453	4965	5971
454	4976	5961
455	4987	5949
456	4998	5939
457	5009	5928
458	5020	5917
459	5031	5906
460	5042	5895
461	5053	5884
462	5064	5873
463	5074	5862
464	5086	5851
465	5097	5841
466	5107	5829
467	5118	5818
468	5129	5807
469	5140	5797
470	5151	5785
471	5162	5775
472	5173	5763
473	5184	5753
474	5195	5742
475	5206	5731
476	5218	5721
477	5229	5710
478	5240	5699
479	5250	5688
480	5261	5677
481	5272	5666
482	5283	5655
483	5294	5644
484	5305	5633
485	5316	5622
486	5327	5611
487	5337	5600
488	5348	5588
489	5358	5577
490	5369	5566
491	5380	5555
492	5391	5544
493	5402	5533
494	5413	5523
495	5425	5512
496	5436	5501
497	5447	5491
498	5458	5480
499	5469	5469
500	5480	5458
501	5491	5447
502	5501	5436
503	5512	5425
504	5523	5414
505	5534	5403
506	5545	5392
507	5556	5381
508	5568	5371
509	5578	5360
510	5589	5348
